#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2471 1.2790E-03 1.2790E-03  -1.12   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=10.620 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 248  0.867970  3.6608  1.5802  2.3930  1.8053 -0.2608 -1.0998 -1.4068 -1.5787
 249  0.868001  3.6583  1.5297  2.4333  1.7763 -0.3361 -1.1904 -1.5036 -1.6800
 250  0.868029  3.6557  1.4793  2.4732  1.7518 -0.4091 -1.2793 -1.5991 -1.7800
 251  0.868055  3.6530  1.4300  2.5120  1.7312 -0.4785 -1.3648 -1.6914 -1.8771
 252  0.868079  3.6504  1.3819  2.5497  1.7145 -0.5447 -1.4474 -1.7805 -1.9711
 253  0.868100  3.6478  1.3342  2.5870  1.7020 -0.6086 -1.5281 -1.8681 -2.0637
 254  0.868121  3.6452  1.2873  2.6233  1.6931 -0.6698 -1.6063 -1.9535 -2.1540
 255  0.868139  3.6426  1.2414  2.6589  1.6878 -0.7282 -1.6823 -2.0365 -2.2420
 256  0.868157  3.6400  1.1960  2.6939  1.6855 -0.7843 -1.7564 -2.1179 -2.3284
 257  0.868172  3.6374  1.1517  2.7280  1.6861 -0.8378 -1.8280 -2.1967 -2.4122
 258  0.868186  3.6349  1.1084  2.7613  1.6890 -0.8892 -1.8975 -2.2736 -2.4940
 259  0.868200  3.6325  1.0656  2.7941  1.6940 -0.9386 -1.9654 -2.3488 -2.5742
 260  0.868212  3.6299  1.0238  2.8261  1.7015 -0.9857 -2.0311 -2.4218 -2.6522
 261  0.868225  3.6275  0.9825  2.8573  1.7116 -1.0306 -2.0948 -2.4929 -2.7283
 262  0.868235  3.6250  0.9419  2.8880  1.7242 -1.0733 -2.1565 -2.5621 -2.8025
 263  0.868246  3.6225  0.9022  2.9180  1.7383 -1.1138 -2.2164 -2.6294 -2.8749
 264  0.868255  3.6201  0.8633  2.9473  1.7549 -1.1524 -2.2743 -2.6950 -2.9456
 265  0.868264  3.6178  0.8249  2.9761  1.7745 -1.1883 -2.3304 -2.7588 -3.0144
 266  0.868273  3.6155  0.7877  3.0042  1.7951 -1.2224 -2.3845 -2.8206 -3.0813
 267  0.868280  3.6132  0.7508  3.0318  1.8171 -1.2550 -2.4374 -2.8812 -3.1472
 268  0.868287  3.6109  0.7148  3.0588  1.8390 -1.2863 -2.4889 -2.9403 -3.2112
 269  0.868294  3.6087  0.6798  3.0852  1.8602 -1.3167 -2.5392 -2.9980 -3.2738
 270  0.868301  3.6066  0.6452  3.1112  1.8819 -1.3458 -2.5883 -3.0544 -3.3351
 271  0.868306  3.6045  0.6117  3.1364  1.9033 -1.3737 -2.6358 -3.1092 -3.3947
 272  0.868312  3.6024  0.5787  3.1612  1.9247 -1.4005 -2.6821 -3.1628 -3.4531
 273  0.868318  3.6005  0.5465  3.1856  1.9457 -1.4264 -2.7273 -3.2153 -3.5104
 274  0.868323  3.5985  0.5150  3.2091  1.9713 -1.4486 -2.7700 -3.2657 -3.5658
 275  0.868328  3.5966  0.4842  3.2323  1.9978 -1.4692 -2.8112 -3.3149 -3.6201
 276  0.868333  3.5947  0.4536  3.2549  2.0267 -1.4873 -2.8502 -3.3620 -3.6727
 277  0.868337  3.5927  0.4241  3.2768  2.0552 -1.5041 -2.8878 -3.4076 -3.7235
