objid,ra,dec,u,g,u-g,r,i,z,r-i,i-z
1.24E+18,229.7411534,1.989806678,23.69571,23.36524,0.3304691,22.22577,21.76269,21.69634,0.46308,0.06635
1.24E+18,229.7449551,1.989561938,25.15587,24.25628,0.8995876,22.29212,21.89396,21.88882,0.39816,0.00514
1.24E+18,229.7460183,2.004979247,24.84834,23.34412,1.504221,22.2466,21.98419,22.37162,0.26241,-0.38743
1.24E+18,229.7473319,2.00828213,25.09262,24.79925,0.2933712,23.02956,23.30806,21.90799,-0.2785,1.40007
1.24E+18,229.7499949,2.011762329,25.80105,23.9021,1.898958,22.13055,22.10943,20.77868,0.02112,1.33075
1.24E+18,229.7522165,1.990747905,18.30833,16.98057,1.327753,16.35104,16.12614,16.01678,0.2249,0.10936
1.24E+18,229.7531652,1.992120594,21.2184,20.29691,0.9214878,19.68793,19.58652,19.6652,0.10141,-0.07868
1.24E+18,229.7491412,1.989356256,24.29874,22.50394,1.794804,21.58877,21.28676,21.14376,0.30201,0.143
1.24E+18,229.7510652,1.98917568,24.06111,22.52264,1.538469,21.5167,21.3373,21.13622,0.1794,0.20108
1.24E+18,229.7496729,1.989802863,25.40277,25.03502,0.3677444,22.63679,22.46961,21.75927,0.16718,0.71034
1.24E+18,229.7610482,1.992285154,19.00752,17.77264,1.234886,17.19972,16.99178,16.91465,0.20794,0.07713
1.24E+18,229.7597457,1.996840623,20.22851,19.37417,0.8543396,18.94074,18.84563,18.83994,0.09511,0.00569
1.24E+18,229.7600497,1.994036343,21.09536,20.18017,0.915184,19.67401,19.51176,19.65688,0.16225,-0.14512
1.24E+18,229.7587493,1.992209949,22.3749,21.03971,1.335188,20.36053,20.25152,19.99047,0.10901,0.26105
1.24E+18,229.758924,1.995266862,24.66837,22.99437,1.674002,22.29172,21.74384,21.41082,0.54788,0.33302
1.24E+18,229.7630917,2.00201125,18.7558,17.50638,1.249416,16.90744,16.72251,16.63044,0.18493,0.09207
1.24E+18,229.7642185,2.000913976,22.69194,20.91509,1.77685,20.32586,20.12994,19.9939,0.19592,0.13604
1.24E+18,229.7614547,2.002276622,24.50945,21.39198,3.117476,20.69977,20.50727,20.37642,0.1925,0.13085
1.24E+18,229.7626033,2.000599052,24.5635,24.16547,0.3980255,22.72525,21.6792,21.93587,1.04605,-0.25667
1.24E+18,229.7669871,1.995522963,16.76235,15.35494,1.407408,14.70764,14.48754,14.38326,0.2201,0.10428
1.24E+18,229.7728269,1.997460795,19.34396,18.38675,0.9572067,18.00594,17.91413,17.88117,0.09181,0.03296
1.24E+18,229.7689721,1.991139374,22.75821,20.30546,2.452745,19.35759,19.07355,18.96243,0.28404,0.11112
1.24E+18,229.7717281,1.99803941,20.78957,19.83368,0.955883,19.35308,19.27648,19.1733,0.0766,0.10318
1.24E+18,229.7664216,1.997861971,21.39268,20.2445,1.148174,19.73319,19.67483,19.74907,0.05836,-0.07424
1.24E+18,229.7696629,1.99798783,24.62585,22.29045,2.335402,21.34038,21.37845,20.93546,-0.03807,0.44299
1.24E+18,229.7674112,1.998293634,24.90182,22.66277,2.23905,21.69987,21.34835,20.99155,0.35152,0.3568
1.24E+18,229.7684845,1.99442756,24.24487,24.31056,-0.06569481,22.70967,21.98395,24.26666,0.72572,-2.28271
1.24E+18,229.7683796,2.004740038,17.5089,16.23099,1.277906,15.72158,15.53648,15.47004,0.1851,0.06644
1.24E+18,229.772358,2.004436332,19.24029,17.99913,1.241156,17.48717,17.28417,17.20979,0.203,0.07438
1.24E+18,229.771423,2.003896441,20.2578,19.29801,0.9597874,18.92456,18.86362,18.7726,0.06094,0.09102
1.24E+18,229.7706035,2.003885529,21.45444,20.30732,1.147123,19.93887,19.78211,19.75657,0.15676,0.02554
1.24E+18,229.7695861,2.003650196,22.0294,20.65969,1.369703,20.09636,19.92637,20.07323,0.16999,-0.14686
1.24E+18,229.7756668,2.015295407,18.73151,17.57693,1.154583,17.14701,16.99693,16.92788,0.15008,0.06905
1.24E+18,229.7774178,2.015637506,23.05888,21.28624,1.772644,20.67788,20.42239,20.20603,0.25549,0.21636
1.24E+18,229.7846405,2.028410076,16.29645,15.07145,1.224996,14.61382,14.43103,14.35579,0.18279,0.07524
1.24E+18,229.7837866,2.026766666,19.28741,18.18447,1.102936,17.778,17.63015,17.58237,0.14785,0.04778
1.24E+18,229.7787993,2.02680733,20.07253,19.08371,0.9888248,18.72746,18.63189,18.63338,0.09557,-0.00149
1.24E+18,229.7799869,2.027423948,20.05977,19.1719,0.8878727,18.84063,18.78781,18.81149,0.05282,-0.02368
1.24E+18,229.7832874,2.031469335,20.57692,19.72536,0.8515606,19.21809,19.1063,19.0339,0.11179,0.0724
1.24E+18,229.7827768,2.024516302,21.70618,20.46153,1.244644,19.97249,19.87881,19.7434,0.09368,0.13541
1.24E+18,229.7849895,2.032805541,23.22722,21.76606,1.461168,21.04985,20.69607,20.39106,0.35378,0.30501
1.24E+18,229.7812854,2.028575568,23.44002,23.28694,0.1530743,22.05317,21.78915,21.76493,0.26402,0.02422
1.24E+18,229.7860104,2.002494167,18.75704,17.46472,1.292328,16.90209,16.6815,16.57093,0.22059,0.11057
1.24E+18,229.7876972,1.999826255,21.00625,20.03104,0.9752102,19.57768,19.47548,19.40721,0.1022,0.06827
1.24E+18,229.785251,2.000634726,21.80811,20.31851,1.489599,20.02935,19.85411,19.80023,0.17524,0.05388
1.24E+18,229.7805411,2.121510131,19.19643,18.18993,1.006496,17.85503,17.74372,17.71041,0.11131,0.03331
1.24E+18,229.78495,2.112583464,19.70142,18.68734,1.014084,18.42579,18.3378,18.31593,0.08799,0.02187
1.24E+18,229.7872414,2.115181161,20.22067,19.31216,0.9085102,18.98125,18.90001,18.9581,0.08124,-0.05809
1.24E+18,229.7878788,2.119002956,20.21301,19.33372,0.8792915,18.96184,18.94199,18.90827,0.01985,0.03372
1.24E+18,229.7834697,2.108735158,20.35389,19.38312,0.9707699,19.08901,19.02608,18.98141,0.06293,0.04467
1.24E+18,229.7862716,2.107144392,20.46233,19.43359,1.028734,19.12991,19.05323,18.95598,0.07668,0.09725
1.24E+18,229.7896371,2.112088315,20.48276,19.58194,0.9008255,19.25242,19.16386,19.12544,0.08856,0.03842
1.24E+18,229.7780464,2.12036331,20.73783,19.77681,0.9610214,19.43867,19.36128,19.41796,0.07739,-0.05668
1.24E+18,229.7833333,2.117768525,21.00027,19.88367,1.116606,19.52459,19.41602,19.33569,0.10857,0.08033
1.24E+18,229.7820371,2.121829918,20.89617,19.82,1.076168,19.51604,19.439,19.36909,0.07704,0.06991
1.24E+18,229.7877368,2.111713254,21.11959,20.0266,1.092991,19.60335,19.46791,19.37427,0.13544,0.09364
1.24E+18,229.7778187,2.12089815,21.68188,20.51491,1.166975,20.09799,19.9944,20.07732,0.10359,-0.08292
1.24E+18,229.7801004,2.116428719,21.08344,20.12501,0.9584312,19.74404,19.60269,19.69747,0.14135,-0.09478
1.24E+18,229.7836844,2.114371664,22.0487,20.5201,1.528601,20.11051,19.98185,20.03838,0.12866,-0.05653
1.24E+18,229.7816614,2.119055063,24.95914,23.78628,1.172861,23.3378,20.27835,19.31999,3.05945,0.95836
1.24E+18,229.7831234,2.116230202,23.01733,21.16379,1.853544,20.62907,20.50736,20.64744,0.12171,-0.14008
1.24E+18,229.7874146,2.109235396,22.516,21.23193,1.284069,20.62824,20.47919,20.51101,0.14905,-0.03182
