#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2452 9.7097E-05 9.7097E-05  -2.32   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=14.200 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 252  0.769059  3.6876  1.6416  2.3860  0.9747 -0.4582 -1.1381 -1.4026 -1.5435
 253  0.769083  3.6858  1.5940  2.4266  0.9129 -0.5447 -1.2355 -1.5043 -1.6482
 254  0.769104  3.6841  1.5483  2.4654  0.8559 -0.6268 -1.3288 -1.6018 -1.7486
 255  0.769124  3.6824  1.5030  2.5038  0.8022 -0.7072 -1.4207 -1.6982 -1.8478
 256  0.769164  3.6807  1.4583  2.5416  0.7516 -0.7854 -1.5110 -1.7931 -1.9455
 257  0.769181  3.6789  1.4146  2.5782  0.7060 -0.8600 -1.5984 -1.8854 -2.0408
 258  0.769196  3.6772  1.3715  2.6145  0.6632 -0.9327 -1.6844 -1.9764 -2.1348
 259  0.769210  3.6754  1.3291  2.6499  0.6230 -1.0029 -1.7682 -2.0653 -2.2268
 260  0.769224  3.6737  1.2878  2.6845  0.5854 -1.0709 -1.8499 -2.1521 -2.3168
 261  0.769236  3.6721  1.2473  2.7184  0.5501 -1.1369 -1.9295 -2.2368 -2.4046
 262  0.769246  3.6704  1.2073  2.7517  0.5168 -1.2012 -2.0076 -2.3201 -2.4911
 263  0.769256  3.6688  1.1685  2.7842  0.4857 -1.2634 -2.0833 -2.4010 -2.5750
 264  0.769267  3.6672  1.1300  2.8163  0.4563 -1.3243 -2.1577 -2.4807 -2.6578
 265  0.769275  3.6656  1.0924  2.8477  0.4289 -1.3833 -2.2303 -2.5583 -2.7386
 266  0.769283  3.6641  1.0555  2.8783  0.4036 -1.4403 -2.3010 -2.6343 -2.8176
 267  0.769291  3.6626  1.0193  2.9084  0.3807 -1.4954 -2.3698 -2.7084 -2.8949
 268  0.769298  3.6610  0.9836  2.9379  0.3599 -1.5488 -2.4373 -2.7811 -2.9708
 269  0.769305  3.6595  0.9486  2.9667  0.3423 -1.5998 -2.5026 -2.8518 -3.0448
 270  0.769311  3.6579  0.9138  2.9953  0.3276 -1.6491 -2.5667 -2.9216 -3.1180
 271  0.769318  3.6564  0.8796  3.0232  0.3153 -1.6962 -2.6290 -2.9896 -3.1895
 272  0.769324  3.6548  0.8463  3.0505  0.3048 -1.7417 -2.6896 -3.0561 -3.2594
 273  0.769329  3.6533  0.8135  3.0772  0.2963 -1.7855 -2.7486 -3.1210 -3.3278
 274  0.769334  3.6518  0.7812  3.1036  0.2891 -1.8279 -2.8066 -3.1849 -3.3952
 275  0.769338  3.6504  0.7499  3.1292  0.2838 -1.8685 -2.8626 -3.2470 -3.4607
 276  0.769343  3.6490  0.7191  3.1542  0.2797 -1.9077 -2.9172 -3.3076 -3.5247
 277  0.769347  3.6476  0.6892  3.1787  0.2763 -1.9454 -2.9702 -3.3666 -3.5871
 278  0.769351  3.6463  0.6606  3.2021  0.2734 -1.9815 -3.0210 -3.4230 -3.6469
 279  0.769354  3.6451  0.6347  3.2232  0.2710 -2.0139 -3.0666 -3.4739 -3.7007
