objid,u,g,r,i,z,u-g,g-r,r-i
1.24E+18,23.34626,21.57402,21.00451,20.7362,21.23165,1.77224,0.56951,0.26831
1.24E+18,23.67203,23.6175,22.31032,22.52399,22.68619,0.05453,1.30718,-0.21367
1.24E+18,21.5679,20.68895,20.28935,20.14104,20.14147,0.87895,0.3996,0.14831
1.24E+18,21.19611,20.16632,19.87239,19.79146,19.74553,1.02979,0.29393,0.08093
1.24E+18,21.30941,20.30245,19.95871,19.85737,19.80363,1.00696,0.34374,0.10134
1.24E+18,23.5852,21.60172,21.018,20.67942,21.41663,1.98348,0.58372,0.33858
1.24E+18,23.501,21.58136,20.78337,20.71376,20.75012,1.91964,0.79799,0.06961
1.24E+18,22.06623,20.80274,20.41796,20.34935,20.10934,1.26349,0.38478,0.06861
1.24E+18,24.14166,22.93475,21.28116,20.26108,19.6889,1.20691,1.65359,1.02008
1.24E+18,22.31774,21.06784,20.68722,20.55357,20.47117,1.2499,0.38062,0.13365
1.24E+18,22.94566,22.51399,21.74569,21.44216,21.23359,0.43167,0.7683,0.30353
1.24E+18,22.69099,22.18501,21.43682,21.24397,21.38985,0.50598,0.74819,0.19285
1.24E+18,23.29128,22.80998,22.28714,21.87866,21.43026,0.4813,0.52284,0.40848
1.24E+18,24.34964,22.64775,22.04864,21.70635,20.86592,1.70189,0.59911,0.34229
1.24E+18,22.75794,21.42652,20.88581,20.67791,20.62597,1.33142,0.54071,0.2079
1.24E+18,23.39752,22.07244,21.35111,21.00123,21.2033,1.32508,0.72133,0.34988
1.24E+18,22.81787,21.24838,20.86509,20.64629,20.8695,1.56949,0.38329,0.2188
1.24E+18,22.71677,22.29123,21.64385,21.6232,21.14367,0.42554,0.64738,0.02065
1.24E+18,25.23925,21.39045,20.19634,19.67899,19.48308,3.8488,1.19411,0.51735
1.24E+18,22.63587,21.38223,20.98757,20.76922,20.61815,1.25364,0.39466,0.21835
1.24E+18,26.80045,22.81645,22.0613,22.38005,21.9763,3.984,0.75515,-0.31875
1.24E+18,23.71756,22.20762,21.66055,21.48658,21.97006,1.50994,0.54707,0.17397
1.24E+18,22.64613,21.2653,20.83443,20.78536,20.45388,1.38083,0.43087,0.04907
1.24E+18,24.04098,21.64781,20.91498,20.64313,20.2529,2.39317,0.73283,0.27185
1.24E+18,23.10384,22.62129,21.77473,21.53459,21.46631,0.48255,0.84656,0.24014
1.24E+18,25.08782,22.89795,21.8205,21.67405,21.94829,2.18987,1.07745,0.14645
1.24E+18,24.60387,22.32128,20.76821,19.53234,18.87278,2.28259,1.55307,1.23587
1.24E+18,24.67505,22.04128,21.41552,21.10726,21.35631,2.63377,0.62576,0.30826
1.24E+18,23.22227,22.68249,21.95868,21.81341,21.54611,0.53978,0.72381,0.14527
1.24E+18,22.70972,21.64845,20.90948,20.67726,20.56515,1.06127,0.73897,0.23222
1.24E+18,26.3789,22.50615,21.70507,21.49599,21.30353,3.87275,0.80108,0.20908
1.24E+18,25.4595,23.76955,22.07561,21.0997,20.31411,1.68995,1.69394,0.97591
1.24E+18,24.55657,23.97485,23.07253,22.25962,22.58972,0.58172,0.90232,0.81291
1.24E+18,22.6503,21.67915,21.0934,20.9492,20.51156,0.97115,0.58575,0.1442
1.24E+18,23.72682,22.88059,21.96632,21.47391,21.3048,0.84623,0.91427,0.49241
1.24E+18,24.96772,21.7236,21.33593,21.09094,21.03988,3.24412,0.38767,0.24499
1.24E+18,22.77592,21.39309,20.82295,20.69608,20.53106,1.38283,0.57014,0.12687
1.24E+18,23.23186,22.1991,21.39635,20.94731,20.87296,1.03276,0.80275,0.44904
1.24E+18,26.33092,22.04324,20.64094,19.96409,19.50814,4.28768,1.4023,0.67685
1.24E+18,23.50107,22.30217,21.32416,20.74157,20.50673,1.1989,0.97801,0.58259
1.24E+18,24.12079,22.35388,21.64718,21.45954,21.10678,1.76691,0.7067,0.18764
1.24E+18,22.685,22.23754,21.58723,21.19073,21.34464,0.44746,0.65031,0.3965
1.24E+18,25.56308,22.6884,21.77422,21.54128,21.59759,2.87468,0.91418,0.23294
1.24E+18,22.60629,20.90834,20.52312,20.41698,20.13779,1.69795,0.38522,0.10614
1.24E+18,25.41676,22.92311,21.76163,21.6372,21.48467,2.49365,1.16148,0.12443
1.24E+18,26.3021,24.21352,22.96789,23.8585,22.41876,2.08858,1.24563,-0.89061
1.24E+18,22.19445,20.91167,20.42679,20.33284,20.08741,1.28278,0.48488,0.09395
1.24E+18,24.78986,22.51545,21.79876,21.64707,22.38333,2.27441,0.71669,0.15169
1.24E+18,25.82606,22.8887,22.04759,21.75238,22.60972,2.93736,0.84111,0.29521
1.24E+18,24.31425,24.14936,22.34055,22.07841,22.04618,0.16489,1.80881,0.26214
1.24E+18,24.66533,23.82031,22.70402,22.08739,22.35105,0.84502,1.11629,0.61663
1.24E+18,23.65156,23.28306,22.46068,22.10044,21.24765,0.3685,0.82238,0.36024
1.24E+18,25.52638,23.05686,22.35742,21.92249,21.01238,2.46952,0.69944,0.43493
1.24E+18,26.20565,23.95323,22.4545,22.92635,22.37224,2.25242,1.49873,-0.47185
1.24E+18,23.74172,23.28199,22.30829,22.41332,22.332,0.45973,0.9737,-0.10503
1.24E+18,25.96713,23.42321,23.21127,22.34362,22.29783,2.54392,0.21194,0.86765
1.24E+18,25.38815,23.71485,22.55908,22.15635,23.13509,1.6733,1.15577,0.40273
1.24E+18,24.97951,23.32152,22.95488,22.27715,21.48765,1.65799,0.36664,0.67773
1.24E+18,25.04964,23.36263,22.81761,21.98606,21.75587,1.68701,0.54502,0.83155
1.24E+18,24.38162,25.18618,23.19217,21.97128,22.03036,-0.80456,1.99401,1.22089
1.24E+18,25.14257,23.40091,23.09145,21.95143,22.29736,1.74166,0.30946,1.14002
1.24E+18,25.88393,23.25022,22.73308,22.12129,21.67195,2.63371,0.51714,0.61179
1.24E+18,24.52748,25.5399,23.34472,21.73169,20.71551,-1.01242,2.19518,1.61303
1.24E+18,24.6239,24.39992,22.88002,22.19705,22.1957,0.22398,1.5199,0.68297
1.24E+18,16.56068,15.67293,15.97345,16.18041,16.32065,0.88775,-0.30052,-0.20696
1.24E+18,17.5595,16.27894,15.87349,15.7242,15.69037,1.28056,0.40545,0.14929
1.24E+18,22.19195,17.95106,16.83743,16.40556,16.17703,4.24089,1.11363,0.43187
1.24E+18,18.28117,17.20132,16.7594,16.55554,16.46429,1.07985,0.44192,0.20386
1.24E+18,18.63237,17.31387,16.81575,16.61633,16.5341,1.3185,0.49812,0.19942
1.24E+18,18.41178,17.29174,16.8437,16.63564,16.54687,1.12004,0.44804,0.20806
1.24E+18,19.01611,17.96351,17.59943,17.4279,17.41108,1.0526,0.36408,0.17153
