#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2452 9.7097E-05 9.7097E-05  -2.32   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 9.500 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 155  0.855193  3.8347  3.9065  0.7558  3.9388  3.0684  2.9036  2.8902  2.9380
 156  0.855610  3.8326  3.8901  0.7640  3.9204  3.0522  2.8820  2.8653  2.9106
 157  0.856010  3.8303  3.8730  0.7722  3.9024  3.0365  2.8604  2.8403  2.8827
 158  0.856393  3.8279  3.8552  0.7804  3.8846  3.0212  2.8388  2.8150  2.8544
 159  0.856759  3.8253  3.8368  0.7886  3.8674  3.0065  2.8171  2.7893  2.8255
 160  0.857109  3.8226  3.8177  0.7968  3.8503  2.9923  2.7949  2.7626  2.7955
 161  0.857444  3.8196  3.7981  0.8049  3.8332  2.9787  2.7719  2.7348  2.7640
 162  0.857679  3.8174  3.7833  0.8109  3.8214  2.9691  2.7555  2.7148  2.7412
 163  0.857909  3.8150  3.7680  0.8168  3.8104  2.9595  2.7394  2.6949  2.7184
 164  0.858138  3.8125  3.7520  0.8230  3.8002  2.9500  2.7235  2.6753  2.6959
 165  0.858362  3.8099  3.7354  0.8291  3.7902  2.9407  2.7075  2.6554  2.6727
 166  0.858584  3.8071  3.7181  0.8354  3.7804  2.9317  2.6911  2.6348  2.6489
 167  0.858802  3.8041  3.7003  0.8417  3.7710  2.9232  2.6747  2.6139  2.6244
 168  0.859017  3.8012  3.6818  0.8480  3.7621  2.9148  2.6581  2.5927  2.5995
 169  0.859230  3.7980  3.6629  0.8545  3.7538  2.9068  2.6414  2.5710  2.5742
 170  0.859440  3.7947  3.6435  0.8609  3.7467  2.8994  2.6243  2.5488  2.5478
 171  0.859647  3.7912  3.6233  0.8673  3.7409  2.8927  2.6072  2.5262  2.5210
 172  0.859852  3.7875  3.6019  0.8737  3.7373  2.8870  2.5901  2.5031  2.4934
 173  0.860053  3.7835  3.5800  0.8801  3.7360  2.8824  2.5724  2.4788  2.4643
 174  0.860255  3.7797  3.5584  0.8865  3.7351  2.8775  2.5548  2.4548  2.4357
 175  0.860455  3.7758  3.5365  0.8930  3.7343  2.8721  2.5380  2.4321  2.4084
 176  0.860651  3.7720  3.5147  0.8996  3.7345  2.8667  2.5211  2.4091  2.3809
 177  0.860845  3.7686  3.4943  0.9065  3.7335  2.8596  2.5036  2.3863  2.3539
 178  0.861033  3.7655  3.4748  0.9137  3.7310  2.8510  2.4854  2.3632  2.3271
 179  0.861213  3.7626  3.4557  0.9213  3.7276  2.8412  2.4666  2.3399  2.3002
 180  0.861383  3.7600  3.4375  0.9291  3.7228  2.8299  2.4472  2.3163  2.2734
 181  0.861545  3.7577  3.4201  0.9372  3.7161  2.8170  2.4268  2.2922  2.2466
